Rank,Released,Movie,"Worldwide
Box Office","Domestic
Box Office","International
Box Office"
1,2009,Avatar,"$2,923,706,026","$785,221,649","$2,138,484,377"
2,2019,Avengers: Endgame,"$2,794,731,755","$858,373,000","$1,936,358,755"
3,2022,Avatar: The Way of Water,"$2,318,552,513","$683,875,614","$1,634,676,899"
4,2018,Avengers: Infinity War,"$2,048,359,754","$678,815,482","$1,369,544,272"
5,2021,Spider-Man: No Way Home,"$1,910,048,245","$814,115,070","$1,095,933,175"
6,2015,Jurassic World,"$1,669,963,641","$652,306,625","$1,017,657,016"
7,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
8,2015,Furious 7,"$1,514,553,486","$353,007,020","$1,161,546,466"
9,2022,Top Gun: Maverick,"$1,481,369,482","$718,732,821","$762,636,661"
10,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111"
11,2018,Black Panther,"$1,336,494,320","$700,059,566","$636,434,754"
12,2018,Jurassic World: Fallen Kingdom,"$1,308,323,302","$417,719,760","$890,603,542"
13,2017,The Fate of the Furious,"$1,236,703,796","$225,764,765","$1,010,939,031"
14,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
15,2016,Captain America: Civil War,"$1,151,899,586","$408,084,349","$743,815,237"
16,2018,Aquaman,"$1,143,758,700","$335,061,807","$808,696,893"
17,2019,Spider-Man: Far From Home,"$1,132,107,522","$390,532,085","$741,575,437"
18,2019,Captain Marvel,"$1,129,576,094","$426,829,839","$702,746,255"
19,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536"
20,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
21,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
22,2012,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008"
23,2008,The Dark Knight,"$1,006,234,167","$534,987,076","$471,247,091"
24,2022,Jurassic World: Dominion,"$1,003,775,632","$376,851,080","$626,924,552"
25,2022,Doctor Strange in the Multiverse of Madness,"$952,224,986","$411,331,607","$540,893,379"
26,2023,The Super Mario Bros. Movie,"$912,996,157","$450,015,825","$462,980,332"
27,2021,Chang jin hu,"$909,596,236","$333,214","$909,263,022"
28,2015,Spectre,"$879,077,344","$200,074,175","$679,003,169"
29,2017,Spider-Man: Homecoming,"$878,271,291","$334,201,140","$544,070,151"
30,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897"
31,2017,Guardians of the Galaxy Vol 2,"$869,087,963","$389,813,101","$479,274,862"
32,2018,Venom,"$856,081,053","$213,511,408","$642,569,645"
33,2022,Black Panther: Wakanda Forever,"$854,041,058","$453,829,060","$400,211,998"
34,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489"
35,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
